ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.043056,0,0.000000,0.000000,0.000000,-0.001309,0.003505,0.003657
0.066421,1,0.000000,0.000000,0.000000,0.011341,0.003505,0.000161
0.088949,2,0.000000,0.000000,0.000000,0.011341,-0.002232,-0.005055
0.111658,3,0.000000,0.000000,0.000000,0.006836,-0.003130,-0.004344
0.134104,4,0.000000,0.000000,0.000000,0.002575,-0.004773,-0.004420
0.156048,5,0.000000,0.000000,0.000000,-0.002097,-0.005428,-0.001802
0.178552,6,0.000000,0.000000,0.000000,0.001424,-0.000756,-0.000661
0.201018,7,0.000000,0.000000,0.000000,0.002164,-0.001410,-0.000737
0.222978,8,0.000000,0.000000,0.000000,0.000577,0.003505,0.003524
0.245509,9,0.000000,0.000000,0.000000,-0.000245,0.003338,0.002952
0.267189,10,0.000000,0.000000,0.000000,0.002708,0.002197,0.002216
0.289367,11,0.000000,0.000000,0.000000,-0.002260,-0.001577,0.001309
0.311896,12,0.000000,0.000000,0.000000,-0.007586,-0.004119,0.000243
0.333882,13,0.000000,0.000000,0.000000,-0.009665,-0.006736,0.001694
0.356219,14,0.000000,0.000000,0.000000,-0.006880,-0.003540,0.003004
0.378589,15,0.000000,0.000000,0.000000,-0.005243,-0.005016,0.001728
0.400763,16,0.000000,0.000000,0.000000,-0.001554,-0.000344,0.002871
0.422640,17,0.000000,0.000000,0.000000,0.000986,0.001619,0.003115
0.445222,18,0.000000,0.000000,0.000000,0.003771,0.001375,0.003526
0.467276,19,0.000000,0.000000,0.000000,0.006389,0.000721,0.004424
0.492158,20,0.000000,0.000000,0.000000,0.001918,0.000477,-0.003763
0.511791,21,0.000000,0.000000,0.000000,0.001473,0.001375,0.004592
0.534042,22,0.000000,0.000000,0.000000,0.001637,0.002281,0.006314
0.556205,23,0.000000,0.000000,0.000000,0.007620,0.001786,0.009432
0.578907,24,0.000000,0.000000,0.000000,0.010404,0.000310,0.006480
0.601112,25,0.000000,0.000000,0.000000,0.010404,-0.002475,0.004511
0.623167,26,0.000000,0.000000,0.000000,0.008465,-0.006493,0.001508
0.646040,27,0.000000,0.000000,0.000000,0.008551,-0.012960,-0.004062
0.667927,28,0.000000,0.000000,0.000000,0.016528,-0.013539,-0.015670
0.690357,29,0.000000,0.000000,0.000000,0.013743,-0.009355,-0.013072
