ts_s,frame,joint_id,joint_name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,confidence
0.000000,0,0,Pelvis,-0.101157,0.661914,0.003720,-0.008210,-0.001980,-0.089865,0.995918,0.250
0.000000,0,15,Head,-0.002691,1.202957,-0.005078,-0.008210,-0.001980,-0.089865,0.995918,0.350
0.000000,0,16,LeftShoulder,-0.198638,1.076320,0.016558,-0.008210,-0.001980,-0.089865,0.995918,0.200
0.000000,0,17,RightShoulder,0.135868,1.015473,0.018400,-0.008210,-0.001980,-0.089865,0.995918,0.200
0.000000,0,18,LeftElbow,-0.046179,0.781723,-0.094934,-0.280721,-0.042914,-0.007480,0.958800,0.200
0.000000,0,19,RightElbow,0.122477,0.869396,0.166850,-0.472304,-0.029638,-0.011776,0.880858,0.200
0.000000,0,20,LeftWrist,0.106280,0.487127,-0.206426,-0.280721,-0.042914,-0.007480,0.958800,0.250
0.000000,0,21,RightWrist,0.109085,0.723320,0.315300,-0.472304,-0.029638,-0.011776,0.880858,0.250
0.000000,0,22,LeftHand,0.106280,0.487127,-0.206426,-0.280721,-0.042914,-0.007480,0.958800,0.200
0.000000,0,23,RightHand,0.109085,0.723320,0.315300,-0.472304,-0.029638,-0.011776,0.880858,0.200
0.043056,1,0,Pelvis,-0.101157,0.661914,0.003720,-0.008210,-0.001980,-0.089865,0.995918,0.250
0.043056,1,15,Head,-0.002691,1.202957,-0.005078,-0.008210,-0.001980,-0.089865,0.995918,0.350
0.043056,1,16,LeftShoulder,-0.198638,1.076320,0.016558,-0.008210,-0.001980,-0.089865,0.995918,0.200
0.043056,1,17,RightShoulder,0.135868,1.015473,0.018400,-0.008210,-0.001980,-0.089865,0.995918,0.200
0.043056,1,18,LeftElbow,-0.046184,0.781722,-0.094943,-0.280654,-0.042906,-0.007333,0.958822,0.200
0.043056,1,19,RightElbow,0.122385,0.869247,0.166357,-0.471310,-0.032306,-0.013217,0.881277,0.200
0.043056,1,20,LeftWrist,0.106270,0.487124,-0.206444,-0.280654,-0.042906,-0.007333,0.958822,0.250
0.043056,1,21,RightWrist,0.108901,0.723020,0.314314,-0.471310,-0.032306,-0.013217,0.881277,0.250
0.043056,1,22,LeftHand,0.106270,0.487124,-0.206444,-0.280654,-0.042906,-0.007333,0.958822,0.200
0.043056,1,23,RightHand,0.108901,0.723020,0.314314,-0.471310,-0.032306,-0.013217,0.881277,0.200
0.066421,2,0,Pelvis,-0.101067,0.661723,0.003210,-0.007726,-0.001874,-0.089812,0.995927,0.250
0.066421,2,15,Head,-0.002660,1.202784,-0.005068,-0.007726,-0.001874,-0.089812,0.995927,0.350
0.066421,2,16,LeftShoulder,-0.198591,1.076106,0.016467,-0.007726,-0.001874,-0.089812,0.995927,0.200
0.066421,2,17,RightShoulder,0.135922,1.015292,0.018208,-0.007726,-0.001874,-0.089812,0.995927,0.200
0.066421,2,18,LeftElbow,-0.046159,0.781606,-0.094996,-0.280803,-0.042884,-0.007424,0.958778,0.200
0.066421,2,19,RightElbow,0.122415,0.869318,0.166297,-0.468243,-0.032410,-0.013233,0.882906,0.200
0.066421,2,20,LeftWrist,0.106273,0.487105,-0.206458,-0.280803,-0.042884,-0.007424,0.958778,0.250
0.066421,2,21,RightWrist,0.108909,0.723343,0.314385,-0.468243,-0.032410,-0.013233,0.882906,0.250
0.066421,2,22,LeftHand,0.106273,0.487105,-0.206458,-0.280803,-0.042884,-0.007424,0.958778,0.200
0.066421,2,23,RightHand,0.108909,0.723343,0.314385,-0.468243,-0.032410,-0.013233,0.882906,0.200
0.088949,3,0,Pelvis,-0.101181,0.661738,0.003097,-0.007612,-0.001993,-0.089951,0.995915,0.250
0.088949,3,15,Head,-0.002622,1.202774,-0.005045,-0.007612,-0.001993,-0.089951,0.995915,0.350
0.088949,3,16,LeftShoulder,-0.198594,1.076146,0.016413,-0.007612,-0.001993,-0.089951,0.995915,0.200
0.088949,3,17,RightShoulder,0.135902,1.015239,0.018229,-0.007612,-0.001993,-0.089951,0.995915,0.200
0.088949,3,18,LeftElbow,-0.046160,0.781621,-0.095079,-0.280757,-0.042825,-0.007456,0.958794,0.200
0.088949,3,19,RightElbow,0.122361,0.869361,0.166264,-0.466587,-0.030987,-0.013016,0.883837,0.200
0.088949,3,20,LeftWrist,0.106274,0.487095,-0.206571,-0.280757,-0.042825,-0.007456,0.958794,0.250
0.088949,3,21,RightWrist,0.108821,0.723482,0.314298,-0.466587,-0.030987,-0.013016,0.883837,0.250
0.088949,3,22,LeftHand,0.106274,0.487095,-0.206571,-0.280757,-0.042825,-0.007456,0.958794,0.200
0.088949,3,23,RightHand,0.108821,0.723482,0.314298,-0.466587,-0.030987,-0.013016,0.883837,0.200
0.111658,4,0,Pelvis,-0.101222,0.661697,0.003132,-0.007614,-0.002044,-0.089989,0.995912,0.250
0.111658,4,15,Head,-0.002621,1.202726,-0.005006,-0.007614,-0.002044,-0.089989,0.995912,0.350
0.111658,4,16,LeftShoulder,-0.198604,1.076112,0.016434,-0.007614,-0.002044,-0.089989,0.995912,0.200
0.111658,4,17,RightShoulder,0.135886,1.015180,0.018284,-0.007614,-0.002044,-0.089989,0.995912,0.200
0.111658,4,18,LeftElbow,-0.046158,0.781589,-0.095109,-0.280853,-0.042947,-0.007394,0.958761,0.200
0.111658,4,19,RightElbow,0.122047,0.869415,0.166174,-0.465029,-0.025381,-0.011509,0.884857,0.200
0.111658,4,20,LeftWrist,0.106288,0.487065,-0.206652,-0.280853,-0.042947,-0.007394,0.958761,0.250
0.111658,4,21,RightWrist,0.108208,0.723649,0.314064,-0.465029,-0.025381,-0.011509,0.884857,0.250
0.111658,4,22,LeftHand,0.106288,0.487065,-0.206652,-0.280853,-0.042947,-0.007394,0.958761,0.200
0.111658,4,23,RightHand,0.108208,0.723649,0.314064,-0.465029,-0.025381,-0.011509,0.884857,0.200
0.134104,5,0,Pelvis,-0.101258,0.661705,0.003152,-0.007647,-0.002121,-0.090030,0.995907,0.250
0.134104,5,15,Head,-0.002612,1.202725,-0.005016,-0.007647,-0.002121,-0.090030,0.995907,0.350
0.134104,5,16,LeftShoulder,-0.198608,1.076129,0.016406,-0.007647,-0.002121,-0.090030,0.995907,0.200
0.134104,5,17,RightShoulder,0.135877,1.015170,0.018310,-0.007647,-0.002121,-0.090030,0.995907,0.200
0.134104,5,18,LeftElbow,-0.046160,0.781605,-0.095143,-0.280690,-0.042939,-0.007434,0.958809,0.200
0.134104,5,19,RightElbow,0.122002,0.869531,0.166271,-0.463256,-0.023351,-0.011556,0.885841,0.200
0.134104,5,20,LeftWrist,0.106288,0.487081,-0.206692,-0.280690,-0.042939,-0.007434,0.958809,0.250
0.134104,5,21,RightWrist,0.108128,0.723893,0.314232,-0.463256,-0.023351,-0.011556,0.885841,0.250
0.134104,5,22,LeftHand,0.106288,0.487081,-0.206692,-0.280690,-0.042939,-0.007434,0.958809,0.200
0.134104,5,23,RightHand,0.108128,0.723893,0.314232,-0.463256,-0.023351,-0.011556,0.885841,0.200
0.156048,6,0,Pelvis,-0.101182,0.661665,0.003258,-0.007736,-0.002182,-0.090001,0.995909,0.250
0.156048,6,15,Head,-0.002567,1.202689,-0.005001,-0.007736,-0.002182,-0.090001,0.995909,0.350
0.156048,6,16,LeftShoulder,-0.198558,1.076086,0.016424,-0.007736,-0.002182,-0.090001,0.995909,0.200
