ts_s,frame,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,tracking_state
0.043056,0,-0.002691,1.202957,-0.005078,-0.008210,-0.001980,-0.089865,0.995918,15
0.066421,1,-0.002660,1.202784,-0.005068,-0.007726,-0.001874,-0.089812,0.995927,15
0.088949,2,-0.002622,1.202774,-0.005045,-0.007612,-0.001993,-0.089951,0.995915,15
0.111658,3,-0.002621,1.202726,-0.005006,-0.007614,-0.002044,-0.089989,0.995912,15
0.134104,4,-0.002612,1.202725,-0.005016,-0.007647,-0.002121,-0.090030,0.995907,15
0.156048,5,-0.002567,1.202689,-0.005001,-0.007736,-0.002182,-0.090001,0.995909,15
0.178552,6,-0.002552,1.202651,-0.004996,-0.007670,-0.002135,-0.089996,0.995910,15
0.201018,7,-0.002538,1.202634,-0.005001,-0.007641,-0.002159,-0.090023,0.995908,15
0.222978,8,-0.002549,1.202601,-0.005003,-0.007652,-0.002040,-0.089921,0.995917,15
0.245509,9,-0.002539,1.202588,-0.005008,-0.007669,-0.002004,-0.089898,0.995920,15
0.267189,10,-0.002539,1.202576,-0.004995,-0.007595,-0.002011,-0.089878,0.995922,15
0.289367,11,-0.002552,1.202619,-0.004975,-0.007686,-0.002076,-0.089856,0.995923,15
0.311896,12,-0.002543,1.202616,-0.004969,-0.007850,-0.002140,-0.089873,0.995920,15
0.333882,13,-0.002560,1.202622,-0.004975,-0.007998,-0.002221,-0.089829,0.995923,15
0.356219,14,-0.002567,1.202634,-0.004946,-0.008033,-0.002210,-0.089774,0.995927,15
0.378589,15,-0.002573,1.202622,-0.004938,-0.008082,-0.002283,-0.089777,0.995927,15
0.400763,16,-0.002584,1.202570,-0.004911,-0.008042,-0.002221,-0.089729,0.995931,15
0.422640,17,-0.002582,1.202554,-0.004892,-0.007996,-0.002190,-0.089706,0.995934,15
0.445222,18,-0.002610,1.202558,-0.004883,-0.007910,-0.002185,-0.089657,0.995939,15
0.467276,19,-0.002658,1.202530,-0.004816,-0.007808,-0.002186,-0.089591,0.995946,15
0.492158,20,-0.002656,1.202528,-0.004772,-0.007850,-0.002180,-0.089742,0.995932,15
0.511791,21,-0.002654,1.202513,-0.004729,-0.007837,-0.002145,-0.089572,0.995947,15
0.534042,22,-0.002664,1.202428,-0.004697,-0.007805,-0.002102,-0.089474,0.995956,15
0.556205,23,-0.002660,1.202419,-0.004669,-0.007627,-0.002106,-0.089329,0.995971,15
0.578907,24,-0.002655,1.202376,-0.004592,-0.007473,-0.002135,-0.089286,0.995976,15
0.601112,25,-0.002670,1.202339,-0.004522,-0.007357,-0.002223,-0.089269,0.995978,15
0.623167,26,-0.002642,1.202331,-0.004468,-0.007306,-0.002360,-0.089295,0.995976,15
0.646040,27,-0.002654,1.202257,-0.004413,-0.007251,-0.002601,-0.089407,0.995965,15
0.667927,28,-0.002638,1.202231,-0.004359,-0.006986,-0.002783,-0.089746,0.995936,15
0.690357,29,-0.002569,1.202280,-0.004312,-0.006873,-0.002856,-0.089867,0.995926,15
0.712667,30,-0.002536,1.202183,-0.004212,-0.006803,-0.002887,-0.089706,0.995941,15
0.734755,31,-0.002500,1.202140,-0.004148,-0.006731,-0.002944,-0.089609,0.995950,15
0.757018,32,-0.002441,1.202061,-0.004062,-0.006547,-0.002992,-0.089591,0.995953,15
0.779573,33,-0.002423,1.202033,-0.003992,-0.006268,-0.003003,-0.089633,0.995951,15
0.801420,34,-0.002379,1.202007,-0.003923,-0.005975,-0.003026,-0.089558,0.995959,15
0.823472,35,-0.002348,1.201986,-0.003857,-0.005853,-0.003161,-0.089452,0.995969,15
0.846237,36,-0.002337,1.201922,-0.003780,-0.005719,-0.003275,-0.089433,0.995971,15
0.868871,37,-0.002306,1.201909,-0.003703,-0.005497,-0.003473,-0.089671,0.995950,15
0.890315,38,-0.002243,1.201904,-0.003651,-0.005255,-0.003626,-0.089785,0.995941,15
0.913400,39,-0.002215,1.201756,-0.003579,-0.005008,-0.003667,-0.090031,0.995920,15
0.934563,40,-0.002126,1.201695,-0.003540,-0.004566,-0.003601,-0.090419,0.995887,15
0.957372,41,-0.002017,1.201681,-0.003470,-0.004080,-0.003208,-0.090504,0.995883,15
0.979808,42,-0.001961,1.201630,-0.003388,-0.003747,-0.002695,-0.090474,0.995888,15
1.001369,43,-0.001900,1.201605,-0.003335,-0.003499,-0.002348,-0.090329,0.995903,15
1.023725,44,-0.001847,1.201553,-0.003263,-0.003221,-0.002112,-0.090142,0.995922,15
1.048177,45,-0.001833,1.201476,-0.003247,-0.002998,-0.002080,-0.090145,0.995922,15
1.067791,46,-0.001824,1.201440,-0.003191,-0.002797,-0.002156,-0.090239,0.995914,15
1.090108,47,-0.001809,1.201393,-0.003140,-0.002593,-0.002340,-0.090317,0.995907,15
1.112874,48,-0.001803,1.201330,-0.003118,-0.002349,-0.002526,-0.090358,0.995903,15
1.134857,49,-0.001779,1.201345,-0.003093,-0.002223,-0.002667,-0.090456,0.995894,15
1.157036,50,-0.001762,1.201295,-0.003057,-0.002117,-0.002633,-0.090486,0.995892,15
1.179551,51,-0.001734,1.201258,-0.003014,-0.002025,-0.002555,-0.090506,0.995891,15
1.201714,52,-0.001714,1.201234,-0.002985,-0.001941,-0.002479,-0.090447,0.995896,15
1.223648,53,-0.001682,1.201180,-0.002978,-0.001835,-0.002394,-0.090421,0.995899,15
1.246559,54,-0.001653,1.201165,-0.002974,-0.001619,-0.002323,-0.090406,0.995901,15
1.268740,55,-0.001596,1.201125,-0.002927,-0.001487,-0.002308,-0.090493,0.995893,15
1.290784,56,-0.001569,1.201116,-0.002876,-0.001431,-0.002256,-0.090648,0.995880,15
1.313142,57,-0.001527,1.201091,-0.002864,-0.001384,-0.002262,-0.090796,0.995866,15
