ts_s,frame,hand,joint_id,joint_name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,radius
0.043056,0,left,1,WristFallback,0.106280,0.487127,-0.206426,-0.280721,-0.042914,-0.007480,0.958800,0.0300
0.043056,0,right,1,WristFallback,0.109085,0.723320,0.315300,-0.472304,-0.029638,-0.011776,0.880858,0.0300
0.066421,1,left,1,WristFallback,0.106272,0.487111,-0.206451,-0.280758,-0.042900,-0.007375,0.958791,0.0300
0.066421,1,right,1,WristFallback,0.108857,0.723088,0.314376,-0.470470,-0.032204,-0.013180,0.881730,0.0300
0.088949,2,left,1,WristFallback,0.106283,0.487110,-0.206501,-0.280712,-0.042946,-0.007390,0.958802,0.0300
0.088949,2,right,1,WristFallback,0.108864,0.723571,0.314281,-0.466255,-0.031656,-0.013311,0.883984,0.0300
0.111658,3,left,1,WristFallback,0.106275,0.487077,-0.206615,-0.280807,-0.042852,-0.007364,0.958779,0.0300
0.111658,3,right,1,WristFallback,0.108385,0.723623,0.314087,-0.465468,-0.027179,-0.011646,0.884571,0.0300
0.134104,4,left,1,WristFallback,0.106287,0.487078,-0.206691,-0.280717,-0.042929,-0.007438,0.958801,0.0300
0.134104,4,right,1,WristFallback,0.108054,0.723797,0.314045,-0.463931,-0.023728,-0.011092,0.885484,0.0300
0.156048,5,left,1,WristFallback,0.106287,0.487073,-0.206699,-0.280755,-0.042916,-0.007485,0.958790,0.0300
0.156048,5,right,1,WristFallback,0.108235,0.723975,0.314471,-0.462978,-0.023631,-0.012286,0.885969,0.0300
0.178552,6,left,1,WristFallback,0.106273,0.487057,-0.206739,-0.280766,-0.042856,-0.007371,0.958791,0.0300
0.178552,6,right,1,WristFallback,0.108358,0.724017,0.314551,-0.462716,-0.024355,-0.012746,0.886080,0.0300
0.201018,7,left,1,WristFallback,0.106264,0.487046,-0.206770,-0.280761,-0.042806,-0.007347,0.958795,0.0300
0.201018,7,right,1,WristFallback,0.108346,0.724017,0.314557,-0.463234,-0.024853,-0.012419,0.885800,0.0300
0.222978,8,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.222978,8,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.245509,9,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.245509,9,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.267189,10,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.267189,10,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.289367,11,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.289367,11,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.311896,12,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.311896,12,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.333882,13,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.333882,13,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.356219,14,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.356219,14,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.378589,15,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.378589,15,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.400763,16,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.400763,16,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.422640,17,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.422640,17,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.445222,18,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.445222,18,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.467276,19,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.467276,19,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.492158,20,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.492158,20,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.511791,21,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.511791,21,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.534042,22,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.534042,22,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.556205,23,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.556205,23,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.578907,24,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.578907,24,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.601112,25,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.601112,25,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.623167,26,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.623167,26,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.646040,27,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.646040,27,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.667927,28,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.667927,28,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.690357,29,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.690357,29,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.712667,30,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.712667,30,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.734755,31,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.734755,31,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.757018,32,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.757018,32,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.779573,33,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.779573,33,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.801420,34,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.801420,34,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.823472,35,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.823472,35,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.846237,36,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.846237,36,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.868871,37,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.868871,37,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.890315,38,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.890315,38,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.913400,39,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.913400,39,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.934563,40,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.934563,40,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.957372,41,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.957372,41,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
0.979808,42,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
0.979808,42,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.001369,43,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.001369,43,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.023725,44,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.023725,44,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.048177,45,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.048177,45,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.067791,46,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.067791,46,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.090108,47,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.090108,47,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.112874,48,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.112874,48,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.134857,49,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.134857,49,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.157036,50,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.157036,50,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.179551,51,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.179551,51,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.201714,52,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.201714,52,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.223648,53,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.223648,53,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.246559,54,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.246559,54,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.268740,55,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.268740,55,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.290784,56,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.290784,56,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.313142,57,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.313142,57,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.335236,58,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.335236,58,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.357852,59,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.357852,59,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.379740,60,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.379740,60,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.401745,61,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.401745,61,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.424367,62,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.424367,62,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.446688,63,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.446688,63,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.468813,64,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.468813,64,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.490838,65,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.490838,65,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.513194,66,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.513194,66,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.535500,67,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.535500,67,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.557950,68,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.557950,68,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.580029,69,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.580029,69,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
1.602464,70,left,1,WristFallback,0.106282,0.487050,-0.206780,-0.280733,-0.042923,-0.007440,0.958797,0.0300
1.602464,70,right,1,WristFallback,0.108346,0.724049,0.314613,-0.463253,-0.024968,-0.012597,0.885785,0.0300
