ts_s,frame,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,tracking_state
0.034374,0,-0.207693,-0.369703,0.695929,0.923799,-0.059422,0.294576,0.237254,15
0.067847,1,-0.207934,-0.369754,0.695884,0.923601,-0.056891,0.295086,0.238011,15
0.101309,2,-0.208201,-0.369801,0.696107,0.923465,-0.055061,0.295637,0.238283,15
0.134713,3,-0.208329,-0.369879,0.696352,0.923516,-0.054367,0.295620,0.238268,15
0.177397,4,-0.208056,-0.369943,0.696467,0.923798,-0.056713,0.295138,0.237221,15
0.222439,5,-0.207673,-0.369842,0.696386,0.923897,-0.059732,0.294739,0.236591,15
0.266350,6,-0.207706,-0.369735,0.696435,0.923814,-0.059064,0.294766,0.237051,15
0.299906,7,-0.207910,-0.369748,0.696509,0.923680,-0.056641,0.295314,0.237478,15
0.333615,8,-0.207938,-0.369818,0.696601,0.923566,-0.054431,0.295778,0.237861,15
0.377744,9,-0.207658,-0.369849,0.696640,0.923581,-0.054445,0.295660,0.237950,15
0.411158,10,-0.207350,-0.369879,0.696716,0.923786,-0.057058,0.295211,0.237097,15
0.444634,11,-0.207168,-0.369814,0.696820,0.923967,-0.059588,0.294794,0.236285,15
0.488999,12,-0.207278,-0.369801,0.696915,0.923920,-0.059365,0.294875,0.236424,15
0.522419,13,-0.207487,-0.369866,0.696912,0.923726,-0.056750,0.295391,0.237179,15
0.555831,14,-0.207533,-0.369883,0.696905,0.923607,-0.054291,0.295765,0.237752,15
0.600404,15,-0.207365,-0.369889,0.696845,0.923647,-0.054908,0.295628,0.237624,15
0.644668,16,-0.207116,-0.369588,0.696710,0.923911,-0.058171,0.295008,0.236591,15
0.689129,17,-0.207178,-0.369242,0.696407,0.924007,-0.059350,0.294849,0.236119,15
0.733825,18,-0.207470,-0.369118,0.695855,0.923806,-0.057175,0.295300,0.236878,15
0.778103,19,-0.207756,-0.369085,0.695409,0.923674,-0.055159,0.295629,0.237460,15
0.811507,20,-0.207882,-0.369115,0.695198,0.923711,-0.055573,0.295545,0.237326,15
0.855598,21,-0.207906,-0.368968,0.695065,0.923862,-0.057475,0.295203,0.236707,15
0.889256,22,-0.207955,-0.368867,0.695024,0.923898,-0.057925,0.295120,0.236560,15
0.933684,23,-0.208050,-0.369408,0.695063,0.923871,-0.056957,0.295225,0.236771,15
0.978227,24,-0.208185,-0.368440,0.694651,0.923853,-0.056543,0.295303,0.236844,15
1.047169,25,-0.208091,-0.368679,0.694399,0.923821,-0.056700,0.295314,0.236915,15
1.089109,26,-0.208306,-0.368551,0.694181,0.923899,-0.057371,0.295127,0.236684,15
1.133526,27,-0.208471,-0.368575,0.693982,0.923922,-0.057168,0.295189,0.236566,15
1.166984,28,-0.208558,-0.368375,0.693826,0.923908,-0.056752,0.295220,0.236685,15
1.200603,29,-0.208567,-0.368254,0.693659,0.923863,-0.056662,0.295319,0.236755,15
1.244790,30,-0.208573,-0.368229,0.693671,0.923854,-0.056805,0.295283,0.236801,15
1.289139,31,-0.208562,-0.368202,0.693820,0.923944,-0.056964,0.295195,0.236523,15
1.322537,32,-0.208457,-0.368248,0.693814,0.923961,-0.057229,0.295231,0.236346,15
1.356067,33,-0.208362,-0.368224,0.693682,0.923922,-0.057197,0.295239,0.236495,15
1.400832,34,-0.208374,-0.368287,0.693516,0.923882,-0.057170,0.295297,0.236586,15
1.444883,35,-0.208462,-0.368261,0.693480,0.923837,-0.056863,0.295481,0.236607,15
1.489286,36,-0.208379,-0.368388,0.693600,0.923828,-0.056177,0.295538,0.236737,15
1.533821,37,-0.208064,-0.368473,0.693803,0.923867,-0.056643,0.295440,0.236595,15
1.578383,38,-0.207862,-0.368511,0.694195,0.923949,-0.057498,0.295195,0.236375,15
1.623459,39,-0.207854,-0.368615,0.694617,0.923913,-0.057219,0.295337,0.236405,15
1.667327,40,-0.207718,-0.368769,0.695086,0.923775,-0.055726,0.295692,0.236854,15
1.711510,41,-0.207484,-0.368959,0.695610,0.923817,-0.055905,0.295592,0.236775,15
1.745241,42,-0.207248,-0.368957,0.695987,0.923943,-0.057136,0.295333,0.236312,15
1.789763,43,-0.207092,-0.369014,0.696320,0.924015,-0.058073,0.295205,0.235962,15
1.833547,44,-0.207093,-0.369080,0.696290,0.924023,-0.057584,0.295173,0.236092,15
1.867276,45,-0.207127,-0.369165,0.696211,0.923925,-0.057072,0.295351,0.236377,15
1.911409,46,-0.207230,-0.369373,0.696303,0.923877,-0.056231,0.295380,0.236730,15
1.945296,47,-0.207271,-0.369434,0.696519,0.923924,-0.056130,0.295358,0.236597,15
1.989564,48,-0.207233,-0.369567,0.696822,0.924085,-0.056728,0.294981,0.236296,15
2.078368,49,-0.207165,-0.369606,0.696880,0.924163,-0.057127,0.294776,0.236150,15
2.122462,50,-0.206928,-0.369683,0.696762,0.923986,-0.055379,0.295210,0.236715,15
