ts_s,frame,joint_id,joint_name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,confidence
53.873941,0,0,Pelvis,-0.018795,-0.501610,0.024571,0.033511,0.234436,-0.000786,0.971554,0.500
53.873941,0,15,Head,-0.009313,0.047154,0.060182,0.033511,0.234436,-0.000786,0.971554,0.950
53.873941,0,16,LeftShoulder,-0.154275,-0.116208,0.145029,0.033511,0.234436,-0.000786,0.971554,0.620
53.873941,0,17,RightShoulder,0.148352,-0.111385,-0.009870,0.033511,0.234436,-0.000786,0.971554,0.620
53.873941,0,18,LeftElbow,-0.389851,-0.345723,0.184182,-0.002638,-0.390240,-0.435096,0.811417,0.580
53.873941,0,19,RightElbow,0.260359,-0.253264,0.193653,-0.118207,0.117032,0.402278,0.900279,0.580
53.873941,0,20,LeftWrist,-0.625426,-0.575237,0.223336,-0.002638,-0.390240,-0.435096,0.811417,0.820
53.873941,0,21,RightWrist,0.372366,-0.395143,0.397175,-0.118207,0.117032,0.402278,0.900279,0.820
53.873941,0,22,LeftHand,-0.625426,-0.575237,0.223336,-0.002638,-0.390240,-0.435096,0.811417,0.780
53.873941,0,23,RightHand,0.372366,-0.395143,0.397175,-0.118207,0.117032,0.402278,0.900279,0.780
0.034374,1,0,Pelvis,-0.070431,0.114495,0.474091,0.923799,-0.059422,0.294576,0.237254,0.500
0.034374,1,15,Head,-0.207693,-0.369703,0.695929,0.923799,-0.059422,0.294576,0.237254,0.950
0.034374,1,16,LeftShoulder,-0.296737,-0.243411,0.519800,0.923799,-0.059422,0.294576,0.237254,0.620
0.034374,1,17,RightShoulder,-0.018145,-0.233214,0.714434,0.923799,-0.059422,0.294576,0.237254,0.620
0.034374,1,18,LeftElbow,-0.461083,-0.409321,0.371568,-0.002592,-0.390184,-0.435128,0.811427,0.580
0.034374,1,19,RightElbow,0.180351,-0.313059,0.558766,-0.130851,0.133662,0.376158,0.907479,0.580
0.034374,1,20,LeftWrist,-0.625429,-0.575232,0.223335,-0.002592,-0.390184,-0.435128,0.811427,0.820
0.034374,1,21,RightWrist,0.378847,-0.392905,0.403099,-0.130851,0.133662,0.376158,0.907479,0.820
0.034374,1,22,LeftHand,-0.625429,-0.575232,0.223335,-0.002592,-0.390184,-0.435128,0.811427,0.780
0.034374,1,23,RightHand,0.378847,-0.392905,0.403099,-0.130851,0.133662,0.376158,0.907479,0.780
0.067847,2,0,Pelvis,-0.072877,0.114371,0.472541,0.923601,-0.056891,0.295086,0.238011,0.500
0.067847,2,15,Head,-0.207934,-0.369754,0.695884,0.923601,-0.056891,0.295086,0.238011,0.950
0.067847,2,16,LeftShoulder,-0.297578,-0.244397,0.519392,0.923601,-0.056891,0.295086,0.238011,0.620
0.067847,2,17,RightShoulder,-0.018991,-0.232368,0.713929,0.923601,-0.056891,0.295086,0.238011,0.620
0.067847,2,18,LeftElbow,-0.461504,-0.409810,0.371365,-0.002543,-0.390205,-0.435056,0.811455,0.580
0.067847,2,19,RightElbow,0.184505,-0.310360,0.563561,-0.137320,0.147562,0.353496,0.913460,0.580
0.067847,2,20,LeftWrist,-0.625430,-0.575223,0.223338,-0.002543,-0.390205,-0.435056,0.811455,0.820
0.067847,2,21,RightWrist,0.388001,-0.388352,0.413193,-0.137320,0.147562,0.353496,0.913460,0.820
0.067847,2,22,LeftHand,-0.625430,-0.575223,0.223338,-0.002543,-0.390205,-0.435056,0.811455,0.780
0.067847,2,23,RightHand,0.388001,-0.388352,0.413193,-0.137320,0.147562,0.353496,0.913460,0.780
0.101309,3,0,Pelvis,-0.074779,0.114407,0.471962,0.923465,-0.055061,0.295637,0.238283,0.500
0.101309,3,15,Head,-0.208201,-0.369801,0.696107,0.923465,-0.055061,0.295637,0.238283,0.950
0.101309,3,16,LeftShoulder,-0.298244,-0.245057,0.519384,0.923465,-0.055061,0.295637,0.238283,0.620
0.101309,3,17,RightShoulder,-0.019739,-0.231730,0.713953,0.923465,-0.055061,0.295637,0.238283,0.620
0.101309,3,18,LeftElbow,-0.461837,-0.410152,0.371356,-0.002740,-0.390241,-0.435075,0.811428,0.580
0.101309,3,19,RightElbow,0.187710,-0.308559,0.567797,-0.146693,0.155070,0.368387,0.904835,0.580
0.101309,3,20,LeftWrist,-0.625429,-0.575246,0.223327,-0.002740,-0.390241,-0.435075,0.811428,0.820
0.101309,3,21,RightWrist,0.395160,-0.385388,0.421641,-0.146693,0.155070,0.368387,0.904835,0.820
0.101309,3,22,LeftHand,-0.625429,-0.575246,0.223327,-0.002740,-0.390241,-0.435075,0.811428,0.780
0.101309,3,23,RightHand,0.395160,-0.385388,0.421641,-0.146693,0.155070,0.368387,0.904835,0.780
0.134713,4,0,Pelvis,-0.075619,0.114421,0.471983,0.923516,-0.054367,0.295620,0.238268,0.500
0.134713,4,15,Head,-0.208329,-0.369879,0.696352,0.923516,-0.054367,0.295620,0.238268,0.950
0.134713,4,16,LeftShoulder,-0.298602,-0.245314,0.519620,0.923516,-0.054367,0.295620,0.238268,0.620
0.134713,4,17,RightShoulder,-0.020038,-0.231559,0.714075,0.923516,-0.054367,0.295620,0.238268,0.620
0.134713,4,18,LeftElbow,-0.462016,-0.410273,0.371477,-0.002612,-0.390200,-0.435104,0.811432,0.580
0.134713,4,19,RightElbow,0.192368,-0.308056,0.571443,-0.152548,0.157245,0.380806,0.898326,0.580
0.134713,4,20,LeftWrist,-0.625429,-0.575233,0.223334,-0.002612,-0.390200,-0.435104,0.811432,0.820
