ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.034374,0,0.000000,0.000000,0.000000,-0.016053,-0.002563,-0.018220
0.067847,1,-0.143316,0.055018,0.276434,-0.003515,0.045617,-0.099174
0.101309,2,-0.020886,-0.040902,0.281492,0.010460,0.053073,-0.093930
0.134713,3,0.111930,-0.190202,-0.098954,0.013289,0.019883,-0.051697
0.177397,4,0.112937,-0.207738,-0.334485,0.013410,-0.037585,0.076279
0.222439,5,-0.053185,0.133831,-0.095051,-0.009430,-0.043867,0.104974
0.266350,6,-0.174644,0.262149,0.225448,-0.008765,0.003413,-0.009285
0.299906,7,0.050937,0.087282,0.144929,0.009394,0.046023,-0.089012
0.333615,8,0.251693,-0.123340,0.003622,0.013220,0.053479,-0.106711
0.377744,9,0.076792,-0.239879,-0.142218,-0.000086,0.003412,-0.013999
0.411158,10,-0.094259,-0.177293,-0.103312,0.002850,-0.042840,0.095589
0.444634,11,-0.146457,0.156572,0.028857,0.002300,-0.053980,0.125082
0.488999,12,-0.017673,0.288386,0.084219,-0.001538,-0.000683,0.007791
0.522419,13,0.062333,0.084950,0.073494,0.002127,0.047740,-0.094920
0.555831,14,0.127390,-0.102996,-0.009293,0.007759,0.053477,-0.119087
0.600404,15,-0.016761,-0.320202,-0.086276,-0.001297,-0.003392,0.006402
0.644668,16,-0.064639,0.023952,-0.026148,0.001375,-0.050130,0.105169
0.689129,17,-0.070617,0.274525,-0.027193,0.003903,-0.023053,0.053507
0.733825,18,0.042807,0.098104,-0.018425,-0.001987,0.033408,-0.064283
0.778103,19,0.025327,-0.101150,-0.005819,0.002024,0.034307,-0.071819
0.811507,20,-0.003158,-0.214576,0.006553,0.000693,0.002593,-0.004433
0.855598,21,-0.007646,0.038917,0.006002,0.001492,-0.026412,0.059724
0.889256,22,0.020962,0.101644,0.025282,0.000932,-0.014039,0.035297
0.933684,23,0.070259,-0.854162,0.267297,0.004019,0.009564,-0.022421
0.978227,24,-0.034092,1.185081,-0.376797,0.005644,0.005956,-0.014194
1.047169,25,0.131096,-0.172454,-0.116689,-0.004464,0.003248,-0.001523
1.089109,26,-0.330375,0.023817,0.213617,-0.003659,-0.007893,0.022241
1.133526,27,-0.016083,-0.200404,-0.013625,0.007498,0.001693,-0.003301
1.166984,28,0.046723,0.171346,-0.001486,0.004003,0.004645,-0.013786
1.200603,29,0.053362,0.023211,-0.010764,-0.001843,0.005786,-0.005542
1.244790,30,-0.008539,-0.065099,0.089336,-0.002739,0.000047,-0.000266
1.289139,31,-0.028771,0.022356,0.015227,0.008049,-0.004536,0.008018
1.322537,32,0.084815,-0.018894,-0.124292,0.005834,-0.003807,0.013336
1.356067,33,-0.001774,0.036553,-0.077029,-0.003475,-0.000856,0.001016
1.400832,34,-0.080127,-0.055095,0.017776,-0.003472,0.002339,0.001343
1.444883,35,0.001280,0.097970,0.121944,0.001396,0.010205,-0.010862
1.489286,36,0.118577,-0.074608,0.041891,0.002574,0.009137,-0.022711
1.533821,37,0.039580,-0.112743,-0.034982,0.000074,-0.006844,0.013435
1.578383,38,-0.112905,0.063037,0.017215,-0.001260,-0.016434,0.027362
1.623459,39,-0.019047,0.087693,0.083408,0.001783,0.006589,-0.006724
1.667327,40,0.126512,-0.031216,0.116306,-0.000223,0.025762,-0.048789
1.711510,41,0.029198,-0.150973,-0.022667,0.000202,-0.001693,0.002622
1.745241,42,-0.031300,0.003869,-0.004214,0.003277,-0.022588,0.048620
1.789763,43,-0.039614,0.079066,-0.086618,0.002978,-0.015542,0.037364
1.833547,44,-0.036929,0.056326,-0.158264,0.001055,0.001014,-0.009996
1.867276,45,0.002721,-0.005164,0.024870,-0.005276,0.013386,-0.023225
1.911409,46,-0.017801,-0.116475,0.151527,-0.002867,0.011256,-0.034291
1.945296,47,0.031638,0.048582,0.113396,0.005923,0.001912,-0.013120
1.989564,48,0.017704,-0.017951,-0.094527,0.004604,-0.020946,0.015918
2.078368,49,0.011986,-0.009858,-0.020383,0.003915,-0.024308,0.025504
2.122462,50,0.180246,-0.027714,-0.474127,0.007356,0.002569,-0.026696
2.157606,51,-0.289830,0.097062,0.455000,0.011415,-0.027669,0.071467
2.223572,52,0.055903,-0.018004,0.121272,0.000784,-0.010458,0.008246
2.278711,53,-0.089063,0.309566,0.179196,-0.004311,0.042394,-0.053351
2.322470,54,0.134686,-0.468116,0.017392,0.004853,0.006586,-0.015345
2.359468,55,0.002261,-0.085947,-0.406989,0.013374,-0.035649,0.075011
2.394385,56,0.004816,0.113802,-0.147493,-0.003814,-0.037989,0.091255
2.428977,57,-0.071177,0.239030,0.019784,-0.010150,-0.005377,0.016818
2.463218,58,-0.081723,0.025147,0.068425,-0.000186,0.029776,-0.060947
2.497295,59,0.078473,-0.055719,0.023120,0.004463,0.036411,-0.080945
