ts_s,frame,snapshot,filename,verts,tris
1.000224,44,0,mesh_0000.ply,3215,2660
2.001224,88,1,mesh_0001.ply,3215,2660
2.001224,88,2,mesh_0002.ply,3229,2676
3.003560,127,3,mesh_0003.ply,3229,2676
3.003560,127,4,mesh_0004.ply,3242,2686
4.008969,170,5,mesh_0005.ply,3242,2686
4.008969,170,6,mesh_0006.ply,3258,2714
5.021112,214,7,mesh_0007.ply,3258,2714
5.021112,214,8,mesh_0008.ply,3295,2724
6.021382,258,9,mesh_0009.ply,3295,2724
6.021382,258,10,mesh_0010.ply,3416,2840
7.022000,302,11,mesh_0011.ply,3416,2840
7.022000,302,12,mesh_0012.ply,3449,2871
8.012356,345,13,mesh_0013.ply,3449,2871
8.012356,345,14,mesh_0014.ply,3456,2871
9.012529,388,15,mesh_0015.ply,3456,2871
9.012529,388,16,mesh_0016.ply,3463,2882
10.024401,432,17,mesh_0017.ply,3463,2882
10.024401,432,18,mesh_0018.ply,3450,2863
11.013487,475,19,mesh_0019.ply,3450,2863
11.013487,475,20,mesh_0020.ply,3465,2870
12.013792,518,21,mesh_0021.ply,3465,2870
12.013792,518,22,mesh_0022.ply,3469,2876
13.014608,561,23,mesh_0023.ply,3469,2876
13.014608,561,24,mesh_0024.ply,3456,2867
14.015164,604,25,mesh_0025.ply,3456,2867
14.015164,604,26,mesh_0026.ply,3462,2870
15.015585,647,27,mesh_0027.ply,3462,2870
15.015585,647,28,mesh_0028.ply,3467,2876
16.038003,691,29,mesh_0029.ply,3467,2876
16.038003,691,30,mesh_0030.ply,3457,2867
17.027362,734,31,mesh_0031.ply,3457,2867
17.027362,734,32,mesh_0032.ply,3485,2904
