ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.048722,0,0.000000,0.000000,0.000000,-0.021472,0.005011,0.032269
0.092407,1,-0.039077,0.055982,0.129831,-0.012297,-0.006705,0.032875
0.135656,2,-0.063002,-0.229603,0.050332,0.008631,-0.025711,0.031542
0.179282,3,-0.067078,-0.006247,0.065710,0.050830,-0.054095,0.031530
0.213520,4,-0.044943,-0.060681,-0.034549,0.057499,-0.084442,0.023563
0.248945,5,0.016904,-0.045577,-0.095228,0.075343,-0.096159,0.009692
0.289546,6,0.194563,0.310763,-0.182979,0.050154,-0.071379,0.016239
0.334698,7,0.075739,-0.033432,-0.151057,0.015799,-0.004977,-0.014266
0.369088,8,-0.008006,0.114046,0.029864,0.009314,0.026084,0.013042
0.412238,9,0.000173,-0.038498,0.015329,-0.012186,0.028049,0.028055
0.456447,10,-0.055377,0.077931,0.080633,-0.011254,0.026742,0.014616
0.500759,11,-0.156638,-0.220981,0.074153,-0.012551,-0.000710,-0.014001
0.535227,12,-0.146884,0.028143,0.110305,0.005559,-0.026796,-0.015877
0.578842,13,-0.133898,0.123507,0.072220,0.012460,-0.054080,0.011276
0.613217,14,-0.090206,-0.072251,-0.008422,0.016466,-0.085626,0.040182
0.656715,15,0.004497,-0.071678,-0.136522,0.032834,-0.101059,0.023282
0.690050,16,0.048342,0.199610,-0.108883,0.026465,-0.094800,0.042589
0.725945,17,0.046874,0.102480,-0.080520,0.007122,-0.092181,0.041378
0.767723,18,0.085476,0.182971,-0.068998,-0.039883,-0.068948,0.019758
0.801487,19,-0.016590,0.086437,0.060778,-0.078232,-0.055926,0.014912
0.835420,20,0.004160,0.077230,0.049559,-0.097517,-0.056990,0.023811
0.880015,21,0.023211,-0.392269,-0.017925,-0.081093,-0.059119,0.017697
0.913496,22,0.062914,0.004138,-0.061036,-0.028686,-0.054613,0.028061
0.956858,23,0.187387,-0.262942,-0.151951,0.020727,-0.027846,0.042466
0.990483,24,0.156198,-0.067994,-0.236543,0.051631,0.012913,0.010619
1.051492,25,0.027813,0.011269,-0.056399,0.063083,0.041508,-0.006100
1.090185,26,-0.143975,0.355705,-0.013829,0.029494,0.056182,-0.046916
1.124689,27,-0.104658,0.073295,0.051134,-0.000494,0.044877,-0.042798
1.168263,28,-0.049790,0.011012,0.078418,-0.027074,0.030786,-0.039713
1.213942,29,-0.080160,0.073798,0.137257,-0.057178,0.013855,-0.034120
1.256824,30,-0.053037,-0.028681,0.140885,-0.058908,-0.005185,-0.006145
1.290306,31,0.013012,-0.032493,0.143757,-0.053447,-0.019032,0.004786
1.324974,32,0.078724,-0.079342,0.066710,-0.037468,-0.025254,0.009325
1.368078,33,0.131618,-0.080062,0.053705,-0.013621,-0.022878,0.016759
1.401570,34,0.124914,-0.111261,0.048790,0.001293,-0.016075,0.020366
1.435455,35,0.144520,-0.097464,-0.020452,0.016155,-0.003214,0.012031
1.479817,36,0.095569,-0.113193,-0.048585,0.050028,0.014820,0.006362
