ts_s,frame,joint_id,joint_name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,confidence
0.048722,1,0,Pelvis,-0.054602,-0.554270,-0.011534,0.028680,0.167838,-0.023087,0.985127,0.500
0.048722,1,15,Head,-0.024288,-0.005761,0.015282,0.028680,0.167838,-0.023087,0.985127,0.950
0.048722,1,16,LeftShoulder,-0.186761,-0.160516,0.082763,0.028680,0.167838,-0.023087,0.985127,0.620
0.048722,1,17,RightShoulder,0.133722,-0.172709,-0.030120,0.028680,0.167838,-0.023087,0.985127,0.620
0.048722,1,18,LeftElbow,-0.413567,-0.373684,0.154976,-0.003239,-0.389235,-0.435959,0.811434,0.580
0.048722,1,19,RightElbow,0.122728,-0.226649,0.117261,-0.607854,-0.054873,-0.004132,0.792140,0.580
0.048722,1,20,LeftWrist,-0.640373,-0.586852,0.227190,-0.003239,-0.389235,-0.435959,0.811434,0.820
0.048722,1,21,RightWrist,0.111734,-0.280590,0.264643,-0.607854,-0.054873,-0.004132,0.792140,0.820
0.048722,1,22,LeftHand,-0.640373,-0.586852,0.227190,-0.003239,-0.389235,-0.435959,0.811434,0.780
0.048722,1,23,RightHand,0.111734,-0.280590,0.264643,-0.607854,-0.054873,-0.004132,0.792140,0.780
0.092407,2,0,Pelvis,-0.053975,-0.554181,-0.011458,0.028624,0.167658,-0.022418,0.985175,0.500
0.092407,2,15,Head,-0.024402,-0.005635,0.015427,0.028624,0.167658,-0.022418,0.985175,0.950
0.092407,2,16,LeftShoulder,-0.186696,-0.160612,0.082825,0.028624,0.167658,-0.022418,0.985175,0.620
0.092407,2,17,RightShoulder,0.133848,-0.172367,-0.029928,0.028624,0.167658,-0.022418,0.985175,0.620
0.092407,2,18,LeftElbow,-0.413540,-0.373738,0.154998,-0.003387,-0.389121,-0.435990,0.811471,0.580
0.092407,2,19,RightElbow,0.124628,-0.226857,0.117055,-0.608147,-0.043984,-0.006702,0.792577,0.580
0.092407,2,20,LeftWrist,-0.640384,-0.586864,0.227170,-0.003387,-0.389121,-0.435990,0.811471,0.820
0.092407,2,21,RightWrist,0.115409,-0.281346,0.264038,-0.608147,-0.043984,-0.006702,0.792577,0.820
0.092407,2,22,LeftHand,-0.640384,-0.586864,0.227170,-0.003387,-0.389121,-0.435990,0.811471,0.780
0.092407,2,23,RightHand,0.115409,-0.281346,0.264038,-0.608147,-0.043984,-0.006702,0.792577,0.780
0.135656,3,0,Pelvis,-0.053469,-0.554355,-0.011777,0.028963,0.166974,-0.021752,0.985296,0.500
0.135656,3,15,Head,-0.024574,-0.005798,0.015619,0.028963,0.166974,-0.021752,0.985296,0.950
0.135656,3,16,LeftShoulder,-0.186784,-0.161023,0.082651,0.028963,0.166974,-0.021752,0.985296,0.620
0.135656,3,17,RightShoulder,0.133936,-0.172308,-0.029650,0.028963,0.166974,-0.021752,0.985296,0.620
0.135656,3,18,LeftElbow,-0.413580,-0.373944,0.154916,-0.003341,-0.389178,-0.436040,0.811418,0.580
0.135656,3,19,RightElbow,0.126547,-0.227911,0.117235,-0.609256,-0.049108,0.001626,0.791450,0.580
0.135656,3,20,LeftWrist,-0.640375,-0.586866,0.227181,-0.003341,-0.389178,-0.436040,0.811418,0.820
0.135656,3,21,RightWrist,0.119159,-0.283514,0.264119,-0.609256,-0.049108,0.001626,0.791450,0.820
0.135656,3,22,LeftHand,-0.640375,-0.586866,0.227181,-0.003341,-0.389178,-0.436040,0.811418,0.780
0.135656,3,23,RightHand,0.119159,-0.283514,0.264119,-0.609256,-0.049108,0.001626,0.791450,0.780
0.179282,4,0,Pelvis,-0.053662,-0.554423,-0.013327,0.030537,0.165581,-0.021449,0.985490,0.500
0.179282,4,15,Head,-0.024848,-0.005954,0.015869,0.030537,0.165581,-0.021449,0.985490,0.950
0.179282,4,16,LeftShoulder,-0.187251,-0.161387,0.081945,0.030537,0.165581,-0.021449,0.985490,0.620
0.179282,4,17,RightShoulder,0.133792,-0.172322,-0.029462,0.030537,0.165581,-0.021449,0.985490,0.620
0.179282,4,18,LeftElbow,-0.427489,-0.386779,0.158530,-0.003399,-0.389109,-0.436067,0.811436,0.580
0.179282,4,19,RightElbow,0.127697,-0.228679,0.117867,-0.586402,-0.036632,0.028422,0.808692,0.580
0.179282,4,20,LeftWrist,-0.667726,-0.612171,0.235115,-0.003399,-0.389109,-0.436067,0.811436,0.820
0.179282,4,21,RightWrist,0.121603,-0.285036,0.265196,-0.586402,-0.036632,0.028422,0.808692,0.820
0.179282,4,22,LeftHand,-0.667726,-0.612171,0.235115,-0.003399,-0.389109,-0.436067,0.811436,0.780
0.179282,4,23,RightHand,0.121603,-0.285036,0.265196,-0.586402,-0.036632,0.028422,0.808692,0.780
0.213520,5,0,Pelvis,-0.053917,-0.554543,-0.014357,0.031559,0.163867,-0.021330,0.985747,0.500
0.213520,5,15,Head,-0.025099,-0.006139,0.016018,0.031559,0.163867,-0.021330,0.985747,0.950
0.213520,5,16,LeftShoulder,-0.187764,-0.161668,0.081217,0.031559,0.163867,-0.021330,0.985747,0.620
0.213520,5,17,RightShoulder,0.133667,-0.172449,-0.029082,0.031559,0.163867,-0.021330,0.985747,0.620
0.213520,5,18,LeftElbow,-0.427752,-0.386927,0.158155,-0.003418,-0.389122,-0.436045,0.811442,0.580
0.213520,5,19,RightElbow,0.129736,-0.229811,0.119286,-0.579083,-0.019525,0.026706,0.814597,0.580
0.213520,5,20,LeftWrist,-0.667739,-0.612186,0.235093,-0.003418,-0.389122,-0.436045,0.811442,0.820
0.213520,5,21,RightWrist,0.125806,-0.287173,0.267655,-0.579083,-0.019525,0.026706,0.814597,0.820
0.213520,5,22,LeftHand,-0.667739,-0.612186,0.235093,-0.003418,-0.389122,-0.436045,0.811442,0.780
0.213520,5,23,RightHand,0.125806,-0.287173,0.267655,-0.579083,-0.019525,0.026706,0.814597,0.780
0.248945,6,0,Pelvis,-0.054622,-0.554599,-0.015780,0.032949,0.162136,-0.021583,0.985982,0.500
0.248945,6,15,Head,-0.025337,-0.006305,0.016106,0.032949,0.162136,-0.021583,0.985982,0.950
0.248945,6,16,LeftShoulder,-0.188394,-0.161829,0.080330,0.032949,0.162136,-0.021583,0.985982,0.620
0.248945,6,17,RightShoulder,0.133414,-0.172667,-0.028860,0.032949,0.162136,-0.021583,0.985982,0.620
0.248945,6,18,LeftElbow,-0.423910,-0.383698,0.156987,-0.003420,-0.389136,-0.436019,0.811449,0.580
0.248945,6,19,RightElbow,0.131703,-0.230582,0.119843,-0.573056,-0.014702,0.022108,0.819086,0.580
0.248945,6,20,LeftWrist,-0.659427,-0.605566,0.233644,-0.003420,-0.389136,-0.436019,0.811449,0.820
