ts_s,frame,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,tracking_state
0.043921,0,0.127258,1.185928,-0.297635,0.132257,-0.100811,-0.027617,0.985689,15
0.068310,1,0.128958,1.189435,-0.300156,0.117965,-0.096493,-0.029009,0.987893,15
0.090340,2,0.129471,1.190333,-0.300854,0.114409,-0.095176,-0.028845,0.988443,15
0.112706,3,0.129945,1.191249,-0.301465,0.111041,-0.093948,-0.028510,0.988954,15
0.135019,4,0.130369,1.192127,-0.301994,0.107543,-0.092798,-0.028374,0.989453,15
0.157109,5,0.130837,1.192845,-0.302602,0.104312,-0.091805,-0.028509,0.989888,15
0.179492,6,0.131224,1.193531,-0.303137,0.101419,-0.091037,-0.028891,0.990248,15
0.201788,7,0.131599,1.194049,-0.303673,0.099123,-0.090441,-0.029531,0.990517,15
0.225496,8,0.131980,1.194455,-0.304197,0.097602,-0.090068,-0.030305,0.990678,15
0.245330,9,0.132281,1.194802,-0.304663,0.096431,-0.089952,-0.031062,0.990780,15
0.267470,10,0.132577,1.195249,-0.305070,0.095368,-0.090130,-0.031479,0.990854,15
0.290031,11,0.132880,1.195516,-0.305409,0.094137,-0.090268,-0.031763,0.990950,15
0.312129,12,0.133106,1.195780,-0.305726,0.093115,-0.090336,-0.032408,0.991019,15
0.334612,13,0.133308,1.196168,-0.305933,0.091959,-0.090347,-0.033117,0.991103,15
0.355901,14,0.133495,1.196557,-0.306173,0.090524,-0.090386,-0.033698,0.991212,15
0.378240,15,0.133635,1.196775,-0.306400,0.089270,-0.090372,-0.034135,0.991312,15
0.400755,16,0.133754,1.197004,-0.306590,0.088421,-0.090429,-0.034517,0.991369,15
0.423413,17,0.133769,1.197379,-0.306769,0.087413,-0.090609,-0.034708,0.991436,15
0.444959,18,0.133711,1.197719,-0.306960,0.085930,-0.091213,-0.035093,0.991496,15
0.467387,19,0.133629,1.197921,-0.307201,0.084719,-0.092150,-0.035660,0.991494,15
0.491244,20,0.133494,1.198111,-0.307506,0.084062,-0.093228,-0.036111,0.991432,15
0.510810,21,0.133322,1.198368,-0.307788,0.083435,-0.094390,-0.036428,0.991364,15
0.532616,22,0.133152,1.198733,-0.308039,0.082551,-0.095544,-0.036353,0.991330,15
0.555075,23,0.132965,1.198890,-0.308347,0.081451,-0.096697,-0.036268,0.991312,15
0.577698,24,0.132733,1.199041,-0.308660,0.080787,-0.097727,-0.036290,0.991265,15
0.599637,25,0.132582,1.199208,-0.308944,0.080295,-0.098655,-0.036126,0.991219,15
0.622045,26,0.132365,1.199503,-0.309183,0.079682,-0.099499,-0.035883,0.991193,15
0.644354,27,0.132232,1.199868,-0.309412,0.078605,-0.100272,-0.035748,0.991206,15
0.666599,28,0.132178,1.200149,-0.309649,0.077220,-0.100806,-0.035670,0.991263,15
0.688802,29,0.132081,1.200309,-0.309924,0.076198,-0.101156,-0.035949,0.991297,15
0.711073,30,0.132041,1.200604,-0.310171,0.075637,-0.101393,-0.036447,0.991297,15
0.737782,31,0.132036,1.200959,-0.310390,0.074821,-0.101509,-0.036609,0.991341,15
0.755606,32,0.132076,1.201269,-0.310614,0.073751,-0.101623,-0.036755,0.991404,15
0.777746,33,0.132148,1.201509,-0.310877,0.072661,-0.101732,-0.037223,0.991456,15
0.799998,34,0.132250,1.201740,-0.311128,0.071876,-0.101760,-0.037777,0.991490,15
0.822227,35,0.132410,1.201977,-0.311320,0.071130,-0.101661,-0.038111,0.991541,15
0.844933,36,0.132606,1.202179,-0.311536,0.070425,-0.101536,-0.038453,0.991591,15
0.866889,37,0.132843,1.202440,-0.311716,0.069810,-0.101280,-0.038982,0.991640,15
0.889724,38,0.133123,1.202763,-0.311841,0.068914,-0.100845,-0.039581,0.991723,15
0.911082,39,0.133518,1.203059,-0.311934,0.067800,-0.100185,-0.040123,0.991845,15
0.933633,40,0.133967,1.203226,-0.311973,0.066788,-0.099340,-0.041089,0.991959,15
0.955666,41,0.134506,1.203377,-0.312041,0.066150,-0.098280,-0.042736,0.992038,15
0.978200,42,0.135100,1.203681,-0.312072,0.065693,-0.096848,-0.044347,0.992138,15
1.000224,43,0.135769,1.203902,-0.312057,0.064939,-0.095211,-0.045747,0.992283,15
1.045050,44,0.137217,1.204098,-0.312135,0.064065,-0.091425,-0.048678,0.992556,15
1.067010,45,0.138017,1.204171,-0.312188,0.063944,-0.089354,-0.049735,0.992700,15
1.092189,46,0.138827,1.204319,-0.312229,0.063713,-0.087221,-0.050586,0.992862,15
1.111210,47,0.139702,1.204439,-0.312245,0.063295,-0.084991,-0.051298,0.993045,15
1.133264,48,0.140563,1.204513,-0.312271,0.062913,-0.082743,-0.051994,0.993223,15
1.155523,49,0.141406,1.204599,-0.312312,0.062620,-0.080505,-0.052810,0.993383,15
1.177903,50,0.142275,1.204765,-0.312336,0.062260,-0.078344,-0.053540,0.993539,15
1.201072,51,0.143090,1.204916,-0.312319,0.061721,-0.076319,-0.054288,0.993690,15
1.222345,52,0.143883,1.205018,-0.312312,0.061207,-0.074488,-0.055148,0.993813,15
1.244666,53,0.144653,1.205055,-0.312284,0.060859,-0.072793,-0.055969,0.993914,15
1.267070,54,0.145390,1.205094,-0.312268,0.060783,-0.071144,-0.057036,0.993977,15
1.290118,55,0.146085,1.205142,-0.312208,0.060808,-0.069679,-0.058043,0.994021,15
1.311279,56,0.146735,1.205137,-0.312122,0.060692,-0.068208,-0.058979,0.994075,15
1.333570,57,0.147361,1.205171,-0.312017,0.060582,-0.066825,-0.060067,0.994111,15
1.355878,58,0.147901,1.205119,-0.311976,0.060555,-0.065500,-0.061233,0.994130,15
1.378121,59,0.148367,1.205086,-0.311925,0.060489,-0.064241,-0.062440,0.994141,15
1.401925,60,0.148826,1.205061,-0.311865,0.060419,-0.063086,-0.063551,0.994148,15
1.422553,61,0.149223,1.205044,-0.311820,0.060257,-0.061961,-0.064562,0.994164,15
1.444636,62,0.149580,1.204993,-0.311783,0.060091,-0.060862,-0.065514,0.994180,15
1.466849,63,0.149926,1.204973,-0.311781,0.059995,-0.059971,-0.066425,0.994179,15
1.490066,64,0.150203,1.204912,-0.311779,0.059954,-0.059215,-0.067067,0.994184,15
1.514454,65,0.150459,1.204842,-0.311750,0.059771,-0.058561,-0.067576,0.994199,15
1.533149,66,0.150717,1.204765,-0.311750,0.059655,-0.058040,-0.068222,0.994192,15
1.555495,67,0.150886,1.204621,-0.311811,0.059784,-0.057541,-0.069108,0.994152,15
1.578302,68,0.151062,1.204642,-0.311826,0.060083,-0.057138,-0.069729,0.994114,15
1.600578,69,0.151196,1.204668,-0.311819,0.060053,-0.056816,-0.069817,0.994128,15
1.622433,70,0.151251,1.204498,-0.311815,0.059908,-0.056612,-0.069866,0.994145,15
1.644654,71,0.151320,1.204432,-0.311862,0.060059,-0.056574,-0.070220,0.994113,15
1.669445,72,0.151379,1.204406,-0.311885,0.060149,-0.056435,-0.070412,0.994102,15
1.688924,73,0.151391,1.204432,-0.311858,0.060079,-0.056436,-0.070414,0.994106,15
1.711354,74,0.151410,1.204363,-0.311840,0.059869,-0.056624,-0.070511,0.994101,15
1.731240,75,0.151405,1.204340,-0.311829,0.059957,-0.056858,-0.070759,0.994065,15
1.755905,76,0.151440,1.204302,-0.311821,0.060197,-0.057243,-0.071242,0.993994,15
1.778328,77,0.151453,1.204318,-0.311760,0.060322,-0.057454,-0.071439,0.993960,15
1.801078,78,0.151461,1.204253,-0.311694,0.060412,-0.057652,-0.071642,0.993929,15
1.822805,79,0.151489,1.204246,-0.311632,0.060555,-0.057887,-0.071957,0.993884,15
1.845014,80,0.151512,1.204214,-0.311556,0.060706,-0.057935,-0.072246,0.993851,15
1.867564,81,0.151475,1.204173,-0.311485,0.060959,-0.058032,-0.072295,0.993826,15
1.890381,82,0.151461,1.204115,-0.311364,0.061094,-0.058210,-0.072118,0.993820,15
1.911582,83,0.151444,1.204024,-0.311299,0.061294,-0.058476,-0.072080,0.993795,15
1.933942,84,0.151391,1.203933,-0.311236,0.061681,-0.058790,-0.072095,0.993751,15
1.956053,85,0.151332,1.203866,-0.311149,0.062087,-0.059201,-0.072054,0.993705,15
1.978784,86,0.151230,1.203845,-0.311051,0.062279,-0.059597,-0.071902,0.993680,15
2.001224,87,0.151140,1.203765,-0.310984,0.062349,-0.060010,-0.071811,0.993657,15
2.136297,88,0.150700,1.203373,-0.310675,0.063152,-0.061144,-0.071606,0.993552,15
2.168788,89,0.150498,1.203280,-0.310650,0.063212,-0.061656,-0.071473,0.993526,15
2.206382,90,0.150326,1.203162,-0.310603,0.063222,-0.062152,-0.071368,0.993502,15
2.224669,91,0.150220,1.203141,-0.310604,0.063158,-0.062587,-0.071210,0.993490,15
2.244722,92,0.150125,1.203062,-0.310617,0.063141,-0.062997,-0.071254,0.993462,15
