ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.043921,0,0.000000,0.000000,0.000000,-0.308934,0.049902,-0.046800
0.068310,1,0.000000,0.000000,0.000000,-0.369452,0.106505,-0.009519
0.090340,2,0.000000,0.000000,0.000000,-0.347141,0.109290,0.011165
0.112706,3,0.000000,0.000000,0.000000,-0.327295,0.108358,0.027582
0.135019,4,0.000000,0.000000,0.000000,-0.323329,0.104097,0.028840
0.157109,5,0.000000,0.000000,0.000000,-0.308961,0.093611,0.017676
0.179492,6,0.000000,0.000000,0.000000,-0.288334,0.077297,0.000852
0.201788,7,0.000000,0.000000,0.000000,-0.251150,0.060964,-0.020819
0.225496,8,0.000000,0.000000,0.000000,-0.197876,0.042577,-0.039595
0.245330,9,0.000000,0.000000,0.000000,-0.156303,0.022337,-0.048239
0.267470,10,0.000000,0.000000,0.000000,-0.130244,0.001819,-0.036678
0.290031,11,0.000000,0.000000,0.000000,-0.121756,-0.006703,-0.025915
0.312129,12,0.000000,0.000000,0.000000,-0.109350,-0.010143,-0.036534
0.334612,13,0.000000,0.000000,0.000000,-0.110305,-0.009732,-0.043580
0.355901,14,0.000000,0.000000,0.000000,-0.121561,-0.010554,-0.041282
0.378240,15,0.000000,0.000000,0.000000,-0.118283,-0.008180,-0.035879
0.400755,16,0.000000,0.000000,0.000000,-0.099763,-0.009321,-0.031584
0.423413,17,0.000000,0.000000,0.000000,-0.096845,-0.014815,-0.020276
0.444959,18,0.000000,0.000000,0.000000,-0.114873,-0.036942,-0.019134
0.467387,19,0.000000,0.000000,0.000000,-0.111349,-0.062619,-0.026035
0.491244,20,0.000000,0.000000,0.000000,-0.085916,-0.081307,-0.026352
0.510810,21,0.000000,0.000000,0.000000,-0.071281,-0.094200,-0.020829
0.532616,22,0.000000,0.000000,0.000000,-0.073197,-0.098872,-0.000999
0.555075,23,0.000000,0.000000,0.000000,-0.081124,-0.101490,0.010776
0.577698,24,0.000000,0.000000,0.000000,-0.068752,-0.098294,0.011131
0.599637,25,0.000000,0.000000,0.000000,-0.055147,-0.091903,0.017968
0.622045,26,0.000000,0.000000,0.000000,-0.053756,-0.084613,0.024108
0.644354,27,0.000000,0.000000,0.000000,-0.072880,-0.078355,0.024460
0.666599,28,0.000000,0.000000,0.000000,-0.095007,-0.065572,0.023135
0.688802,29,0.000000,0.000000,0.000000,-0.093304,-0.051480,0.005762
0.711073,30,0.000000,0.000000,0.000000,-0.075461,-0.039351,-0.012891
0.737782,31,0.000000,0.000000,0.000000,-0.076475,-0.027466,-0.008817
0.755606,32,0.000000,0.000000,0.000000,-0.087127,-0.021485,-0.006720
0.777746,33,0.000000,0.000000,0.000000,-0.094063,-0.019077,-0.018438
0.799998,34,0.000000,0.000000,0.000000,-0.084852,-0.014567,-0.029334
0.822227,35,0.000000,0.000000,0.000000,-0.078216,-0.005884,-0.026550
0.844933,36,0.000000,0.000000,0.000000,-0.073377,0.000340,-0.026601
0.866889,37,0.000000,0.000000,0.000000,-0.068351,0.008619,-0.034550
0.889724,38,0.000000,0.000000,0.000000,-0.077695,0.020093,-0.040097
0.911082,39,0.000000,0.000000,0.000000,-0.090888,0.036072,-0.040491
0.933633,40,0.000000,0.000000,0.000000,-0.096231,0.050818,-0.060405
0.955666,41,0.000000,0.000000,0.000000,-0.086193,0.065899,-0.102193
0.978200,42,0.000000,0.000000,0.000000,-0.075152,0.090100,-0.123087
1.000224,43,0.000000,0.000000,0.000000,-0.080478,0.111816,-0.124840
1.045050,44,0.000000,0.000000,0.000000,-0.062502,0.147791,-0.132239
1.067010,45,0.000000,0.000000,0.000000,-0.046633,0.162781,-0.118691
1.092189,46,0.000000,0.000000,0.000000,-0.043171,0.174666,-0.102167
1.111210,47,0.000000,0.000000,0.000000,-0.048121,0.184497,-0.088185
1.133264,48,0.000000,0.000000,0.000000,-0.049296,0.189858,-0.081138
1.155523,49,0.000000,0.000000,0.000000,-0.046923,0.192232,-0.082203
1.177903,50,0.000000,0.000000,0.000000,-0.048232,0.190923,-0.078763
1.201072,51,0.000000,0.000000,0.000000,-0.055851,0.183954,-0.075895
1.222345,52,0.000000,0.000000,0.000000,-0.058230,0.171470,-0.078595
1.244666,53,0.000000,0.000000,0.000000,-0.051839,0.159342,-0.079793
1.267070,54,0.000000,0.000000,0.000000,-0.038124,0.150820,-0.090955
1.290118,55,0.000000,0.000000,0.000000,-0.026539,0.139513,-0.093872
1.311279,56,0.000000,0.000000,0.000000,-0.025473,0.133365,-0.092730
1.333570,57,0.000000,0.000000,0.000000,-0.024818,0.126075,-0.097534
1.355878,58,0.000000,0.000000,0.000000,-0.020690,0.119406,-0.104712
1.378121,59,0.000000,0.000000,0.000000,-0.020330,0.113258,-0.110448
1.401925,60,0.000000,0.000000,0.000000,-0.019867,0.105558,-0.108393
1.422553,61,0.000000,0.000000,0.000000,-0.023473,0.099820,-0.101757
1.444636,62,0.000000,0.000000,0.000000,-0.024893,0.096457,-0.096481
1.466849,63,0.000000,0.000000,0.000000,-0.022275,0.086383,-0.091647
1.490066,64,0.000000,0.000000,0.000000,-0.017176,0.075076,-0.078175
1.514454,65,0.000000,0.000000,0.000000,-0.020157,0.065321,-0.064082
1.533149,66,0.000000,0.000000,0.000000,-0.018270,0.054425,-0.062606
1.555495,67,0.000000,0.000000,0.000000,-0.007096,0.048166,-0.072459
1.578302,68,0.000000,0.000000,0.000000,0.005276,0.042018,-0.065136
1.600578,69,0.000000,0.000000,0.000000,-0.000305,0.035139,-0.039025
1.622433,70,0.000000,0.000000,0.000000,-0.006755,0.026861,-0.023700
1.644654,71,0.000000,0.000000,0.000000,0.002203,0.015797,-0.028261
1.669445,72,0.000000,0.000000,0.000000,0.003679,0.013910,-0.023478
1.688924,73,0.000000,0.000000,0.000000,-0.001924,0.007031,-0.012281
1.711354,74,0.000000,0.000000,0.000000,-0.009132,-0.004854,-0.009715
1.731240,75,0.000000,0.000000,0.000000,-0.001513,-0.016161,-0.019594
1.755905,76,0.000000,0.000000,0.000000,0.009418,-0.021077,-0.025708
1.778328,77,0.000000,0.000000,0.000000,0.010073,-0.019601,-0.021615
1.801078,78,0.000000,0.000000,0.000000,0.009008,-0.018293,-0.020088
1.822805,79,0.000000,0.000000,0.000000,0.011139,-0.019931,-0.024157
