ts_s,frame,snapshot,filename,verts,tris
5.013314,218,0,mesh_0000.ply,683,556
6.014116,263,1,mesh_0001.ply,683,556
6.014116,263,2,mesh_0002.ply,896,744
7.014835,308,3,mesh_0003.ply,896,744
7.014835,308,4,mesh_0004.ply,864,702
8.015872,353,5,mesh_0005.ply,864,702
8.015872,353,6,mesh_0006.ply,874,723
9.016144,398,7,mesh_0007.ply,874,723
9.016144,398,8,mesh_0008.ply,901,753
10.016633,443,9,mesh_0009.ply,901,753
10.016633,443,10,mesh_0010.ply,897,744
11.016919,488,11,mesh_0011.ply,897,744
11.016919,488,12,mesh_0012.ply,907,755
12.017228,533,13,mesh_0013.ply,907,755
12.017228,533,14,mesh_0014.ply,957,787
13.017780,578,15,mesh_0015.ply,957,787
13.017780,578,16,mesh_0016.ply,1767,1509
14.028685,623,17,mesh_0017.ply,1767,1509
14.028685,623,18,mesh_0018.ply,1503,1224
15.018577,667,19,mesh_0019.ply,1503,1224
15.018577,667,20,mesh_0020.ply,1452,1160
16.018815,711,21,mesh_0021.ply,1452,1160
16.018815,711,22,mesh_0022.ply,1431,1138
17.018948,755,23,mesh_0023.ply,1431,1138
17.018948,755,24,mesh_0024.ply,1767,1442
18.019237,799,25,mesh_0025.ply,1767,1442
18.019237,799,26,mesh_0026.ply,2219,1752
19.041374,844,27,mesh_0027.ply,2219,1752
19.041374,844,28,mesh_0028.ply,2586,2059
20.041603,888,29,mesh_0029.ply,2586,2059
20.041603,888,30,mesh_0030.ply,2534,2024
21.053434,932,31,mesh_0031.ply,2534,2024
21.053434,932,32,mesh_0032.ply,2624,2135
22.041587,975,33,mesh_0033.ply,2624,2135
22.041587,975,34,mesh_0034.ply,2689,2192
23.041661,1018,35,mesh_0035.ply,2689,2192
23.041661,1018,36,mesh_0036.ply,2912,2390
24.042159,1061,37,mesh_0037.ply,2912,2390
24.042159,1061,38,mesh_0038.ply,2869,2351
25.064239,1105,39,mesh_0039.ply,2869,2351
25.064239,1105,40,mesh_0040.ply,2865,2349
26.063977,1148,41,mesh_0041.ply,2865,2349
26.063977,1148,42,mesh_0042.ply,2851,2351
27.064325,1191,43,mesh_0043.ply,2851,2351
27.064325,1191,44,mesh_0044.ply,2859,2349
28.064593,1234,45,mesh_0045.ply,2859,2349
28.064593,1234,46,mesh_0046.ply,2904,2382
29.075205,1278,47,mesh_0047.ply,2904,2382
29.075205,1278,48,mesh_0048.ply,2925,2420
30.086730,1322,49,mesh_0049.ply,2925,2420
30.086730,1322,50,mesh_0050.ply,2901,2396
31.085017,1366,51,mesh_0051.ply,2901,2396
31.085017,1366,52,mesh_0052.ply,2894,2399
32.097126,1410,53,mesh_0053.ply,2894,2399
32.097126,1410,54,mesh_0054.ply,2935,2398
33.099906,1454,55,mesh_0055.ply,2935,2398
33.099906,1454,56,mesh_0056.ply,2955,2411
34.108394,1498,57,mesh_0057.ply,2955,2411
34.108394,1498,58,mesh_0058.ply,2953,2404
35.097746,1541,59,mesh_0059.ply,2953,2404
35.097746,1541,60,mesh_0060.ply,2958,2406
36.120119,1585,61,mesh_0061.ply,2958,2406
36.120119,1585,62,mesh_0062.ply,2897,2329
37.108587,1628,63,mesh_0063.ply,2897,2329
37.108587,1628,64,mesh_0064.ply,2882,2308
38.109151,1671,65,mesh_0065.ply,2882,2308
38.109151,1671,66,mesh_0066.ply,2940,2371
