ts_s,frame,snapshot,filename,verts,tris
1.002858,44,0,mesh_0000.ply,4037,3372
2.001341,88,1,mesh_0001.ply,4037,3372
2.001341,88,2,mesh_0002.ply,4055,3381
3.006021,120,3,mesh_0003.ply,4055,3381
3.006021,120,4,mesh_0004.ply,4060,3384
4.008082,163,5,mesh_0005.ply,4060,3384
4.008082,163,6,mesh_0006.ply,4031,3354
5.008716,206,7,mesh_0007.ply,4031,3354
5.008716,206,8,mesh_0008.ply,4103,3404
6.010714,249,9,mesh_0009.ply,4103,3404
6.010714,249,10,mesh_0010.ply,4237,3553
7.021505,292,11,mesh_0011.ply,4237,3553
7.021505,292,12,mesh_0012.ply,4291,3605
8.011150,334,13,mesh_0013.ply,4291,3605
8.011150,334,14,mesh_0014.ply,4305,3612
9.024298,377,15,mesh_0015.ply,4305,3612
9.024298,377,16,mesh_0016.ply,4276,3598
10.024093,420,17,mesh_0017.ply,4276,3598
10.024093,420,18,mesh_0018.ply,4264,3581
11.035576,463,19,mesh_0019.ply,4264,3581
11.035576,463,20,mesh_0020.ply,4278,3589
12.035976,506,21,mesh_0021.ply,4278,3589
12.035976,506,22,mesh_0022.ply,4299,3610
13.058573,549,23,mesh_0023.ply,4299,3610
13.058573,549,24,mesh_0024.ply,4288,3604
14.069762,592,25,mesh_0025.ply,4288,3604
14.069762,592,26,mesh_0026.ply,4313,3623
15.070697,635,27,mesh_0027.ply,4313,3623
15.070697,635,28,mesh_0028.ply,4333,3646
16.092529,678,29,mesh_0029.ply,4333,3646
16.092529,678,30,mesh_0030.ply,4309,3628
17.092875,721,31,mesh_0031.ply,4309,3628
17.092875,721,32,mesh_0032.ply,4292,3609
18.102976,764,33,mesh_0033.ply,4292,3609
18.102976,764,34,mesh_0034.ply,4276,3591
19.125401,807,35,mesh_0035.ply,4276,3591
19.125401,807,36,mesh_0036.ply,4276,3584
20.125100,850,37,mesh_0037.ply,4276,3584
20.125100,850,38,mesh_0038.ply,4295,3608
21.125231,893,39,mesh_0039.ply,4295,3608
21.125231,893,40,mesh_0040.ply,4302,3609
22.137272,936,41,mesh_0041.ply,4302,3609
22.137272,936,42,mesh_0042.ply,4301,3621
23.147580,979,43,mesh_0043.ply,4301,3621
23.147580,979,44,mesh_0044.ply,4244,3572
24.148053,1022,45,mesh_0045.ply,4244,3572
24.148053,1022,46,mesh_0046.ply,4256,3583
25.148180,1065,47,mesh_0047.ply,4256,3583
25.148180,1065,48,mesh_0048.ply,4250,3581
26.148746,1108,49,mesh_0049.ply,4250,3581
26.148746,1108,50,mesh_0050.ply,4307,3625
27.148635,1151,51,mesh_0051.ply,4307,3625
27.148635,1151,52,mesh_0052.ply,4268,3592
28.161080,1194,53,mesh_0053.ply,4268,3592
28.161080,1194,54,mesh_0054.ply,4276,3603
29.171796,1237,55,mesh_0055.ply,4276,3603
29.171796,1237,56,mesh_0056.ply,4259,3583
30.182496,1280,57,mesh_0057.ply,4259,3583
30.182496,1280,58,mesh_0058.ply,4266,3592
31.193650,1323,59,mesh_0059.ply,4266,3592
31.193650,1323,60,mesh_0060.ply,4281,3604
32.204930,1366,61,mesh_0061.ply,4281,3604
32.204930,1366,62,mesh_0062.ply,4309,3635
33.204741,1409,63,mesh_0063.ply,4309,3635
33.204741,1409,64,mesh_0064.ply,4290,3612
34.215903,1452,65,mesh_0065.ply,4290,3612
34.215903,1452,66,mesh_0066.ply,4281,3603
35.215301,1495,67,mesh_0067.ply,4281,3603
35.215301,1495,68,mesh_0068.ply,4299,3622
36.226628,1538,69,mesh_0069.ply,4299,3622
36.226628,1538,70,mesh_0070.ply,4321,3641
37.227064,1581,71,mesh_0071.ply,4321,3641
37.227064,1581,72,mesh_0072.ply,4367,3675
38.227078,1624,73,mesh_0073.ply,4367,3675
38.227078,1624,74,mesh_0074.ply,4367,3681
39.227203,1667,75,mesh_0075.ply,4367,3681
39.227203,1667,76,mesh_0076.ply,4339,3662
