ts_s,frame,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,tracking_state
0.044856,0,-0.091437,-0.120811,-0.316803,0.037810,-0.060153,0.038430,0.996732,15
0.070379,1,-0.091688,-0.120974,-0.319422,0.033006,-0.068815,0.043213,0.996146,15
0.089618,2,-0.091940,-0.120827,-0.320021,0.031444,-0.071462,0.043401,0.996002,15
0.112175,3,-0.092386,-0.120529,-0.320519,0.029691,-0.074378,0.042322,0.995889,15
0.134448,4,-0.092818,-0.120354,-0.320993,0.028056,-0.076986,0.041234,0.995784,15
0.156688,5,-0.093307,-0.120391,-0.321375,0.027169,-0.079105,0.041389,0.995636,15
0.178902,6,-0.093833,-0.120724,-0.321800,0.026834,-0.080939,0.042803,0.995438,15
0.201668,7,-0.094330,-0.120937,-0.322213,0.027036,-0.082571,0.043990,0.995247,15
0.223770,8,-0.094833,-0.120958,-0.322526,0.027028,-0.083750,0.044715,0.995116,15
0.245946,9,-0.095283,-0.120881,-0.322792,0.026422,-0.084815,0.045782,0.994994,15
0.268105,10,-0.095802,-0.120915,-0.322980,0.025435,-0.085977,0.046736,0.994875,15
0.289999,11,-0.096262,-0.121072,-0.323144,0.024818,-0.087494,0.047179,0.994738,15
0.312027,12,-0.096689,-0.121209,-0.323402,0.024559,-0.089292,0.047992,0.994546,15
0.334358,13,-0.097152,-0.121411,-0.323567,0.024659,-0.091221,0.048754,0.994331,15
0.356468,14,-0.097573,-0.121584,-0.323769,0.024948,-0.093474,0.049235,0.994091,15
0.378529,15,-0.098002,-0.121571,-0.323958,0.025248,-0.095858,0.049981,0.993819,15
0.400841,16,-0.098316,-0.121695,-0.324104,0.025444,-0.098312,0.051018,0.993521,15
0.422980,17,-0.098571,-0.121882,-0.324239,0.025593,-0.100668,0.051725,0.993245,15
0.445216,18,-0.098732,-0.122004,-0.324336,0.025804,-0.102602,0.051852,0.993035,15
0.467388,19,-0.098848,-0.122025,-0.324390,0.026056,-0.104017,0.051631,0.992893,15
0.489460,20,-0.098899,-0.122005,-0.324348,0.026227,-0.104906,0.051374,0.992808,15
0.511660,21,-0.098944,-0.121933,-0.324306,0.026359,-0.105475,0.050876,0.992770,15
0.534302,22,-0.098790,-0.121919,-0.324208,0.026355,-0.105683,0.050216,0.992781,15
0.556263,23,-0.098570,-0.121821,-0.324053,0.026231,-0.105398,0.049187,0.992867,15
0.578462,24,-0.098324,-0.121634,-0.323872,0.025958,-0.104554,0.048132,0.993015,15
0.601405,25,-0.098010,-0.121514,-0.323667,0.025669,-0.103346,0.046885,0.993208,15
0.622579,26,-0.097583,-0.121438,-0.323492,0.025670,-0.101947,0.045639,0.993411,15
0.644952,27,-0.097039,-0.121480,-0.323328,0.025987,-0.100332,0.044588,0.993615,15
0.667441,28,-0.096468,-0.121435,-0.323136,0.026413,-0.098501,0.043438,0.993838,15
0.689680,29,-0.095800,-0.121242,-0.322895,0.026445,-0.096603,0.042189,0.994077,15
0.712156,30,-0.095120,-0.121097,-0.322670,0.026024,-0.094445,0.040698,0.994357,15
0.734752,31,-0.094304,-0.121114,-0.322482,0.025952,-0.092043,0.039016,0.994652,15
0.756245,32,-0.093477,-0.121083,-0.322280,0.026403,-0.089460,0.037490,0.994934,15
0.778530,33,-0.092695,-0.120962,-0.322037,0.026801,-0.086772,0.036270,0.995207,15
0.802487,34,-0.091864,-0.121011,-0.321784,0.027044,-0.084034,0.035172,0.995475,15
0.822982,35,-0.091025,-0.121081,-0.321547,0.027559,-0.081318,0.034028,0.995726,15
0.845224,36,-0.090198,-0.121064,-0.321266,0.028159,-0.078614,0.033010,0.995961,15
0.867808,37,-0.089370,-0.121167,-0.320970,0.028711,-0.076094,0.032096,0.996170,15
0.889594,38,-0.088565,-0.121280,-0.320687,0.029252,-0.073501,0.031090,0.996381,15
0.911997,39,-0.087839,-0.121358,-0.320413,0.030042,-0.071057,0.029988,0.996569,15
0.935782,40,-0.087021,-0.121420,-0.320126,0.030919,-0.068671,0.029038,0.996737,15
0.956688,41,-0.086227,-0.121481,-0.319835,0.031694,-0.066490,0.027904,0.996893,15
0.978891,42,-0.085490,-0.121557,-0.319550,0.032407,-0.064416,0.026596,0.997042,15
1.002858,43,-0.084727,-0.121604,-0.319296,0.033031,-0.062453,0.025125,0.997185,15
1.043981,44,-0.084391,-0.121599,-0.319150,0.033309,-0.061483,0.024350,0.997255,15
1.068838,45,-0.082658,-0.121805,-0.318490,0.034569,-0.057218,0.020730,0.997548,15
1.089900,46,-0.081988,-0.121831,-0.318300,0.035147,-0.055812,0.019758,0.997627,15
1.112090,47,-0.081449,-0.121893,-0.318099,0.035649,-0.054510,0.018872,0.997698,15
1.134056,48,-0.080887,-0.122019,-0.317915,0.036266,-0.053345,0.017879,0.997757,15
1.156530,49,-0.080363,-0.122079,-0.317744,0.036954,-0.052316,0.017109,0.997800,15
1.179298,50,-0.079990,-0.122184,-0.317609,0.037476,-0.051579,0.016425,0.997830,15
1.201179,51,-0.079599,-0.122312,-0.317482,0.037977,-0.051049,0.015730,0.997850,15
1.223117,52,-0.079254,-0.122437,-0.317382,0.038407,-0.050763,0.015237,0.997856,15
1.245455,53,-0.078982,-0.122498,-0.317278,0.038822,-0.050709,0.014709,0.997850,15
1.267771,54,-0.078757,-0.122512,-0.317156,0.039079,-0.050853,0.014176,0.997841,15
1.290521,55,-0.078536,-0.122492,-0.317052,0.039175,-0.051067,0.013594,0.997834,15
1.313608,56,-0.078368,-0.122507,-0.316944,0.039148,-0.051264,0.013077,0.997832,15
1.335499,57,-0.078207,-0.122577,-0.316837,0.039279,-0.051356,0.012607,0.997828,15
1.356547,58,-0.078072,-0.122656,-0.316708,0.039640,-0.051437,0.012633,0.997809,15
1.378684,59,-0.078000,-0.122790,-0.316607,0.040123,-0.051653,0.012476,0.997781,15
1.401439,60,-0.077894,-0.122836,-0.316517,0.040713,-0.051873,0.011999,0.997751,15
1.422996,61,-0.077763,-0.122853,-0.316387,0.041140,-0.051945,0.012030,0.997730,15
1.445277,62,-0.077682,-0.122935,-0.316286,0.041305,-0.051994,0.012233,0.997718,15
1.469019,63,-0.077580,-0.123077,-0.316164,0.041682,-0.052097,0.012074,0.997699,15
1.489998,64,-0.077445,-0.123139,-0.316131,0.042100,-0.052060,0.011928,0.997685,15
