ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1.823088,79,-0.053163,0.013821,-0.005003,-0.016628,0.047892,-0.030562
1.845363,80,-0.035471,0.072212,0.025836,-0.023264,0.043630,-0.027939
1.868076,81,0.037840,-0.044406,0.012567,-0.024740,0.039125,-0.031134
1.889954,82,0.049699,-0.232303,-0.065797,-0.023774,0.033931,-0.056423
1.912168,83,0.040097,0.038906,-0.063001,-0.016229,0.037127,-0.080646
1.934699,84,0.074136,0.204262,0.011703,-0.018094,0.047235,-0.063636
1.957013,85,-0.060694,-0.059354,-0.061626,-0.028151,0.052805,-0.048832
1.979164,86,0.022449,-0.095908,-0.018204,-0.026182,0.054280,-0.040721
2.001341,87,0.025507,0.026398,-0.009856,-0.021678,0.059773,-0.039656
2.073781,88,-0.000001,0.009635,-0.000027,-0.020531,0.059606,-0.036217
2.100977,89,-0.020335,0.073168,0.034244,-0.043806,0.062557,-0.046845
2.123212,90,-0.060948,-0.214479,0.000940,-0.034052,0.064520,-0.044680
2.145569,91,-0.067397,0.119113,0.050190,-0.021906,0.060837,-0.024933
2.168963,92,-0.116200,-0.118039,0.031840,-0.019416,0.052558,-0.027526
2.190134,93,-0.090926,0.090761,-0.012384,-0.016765,0.045511,-0.036348
2.212383,94,-0.011053,0.029366,0.066114,-0.014502,0.039907,-0.030779
2.234788,95,-0.135844,-0.044364,-0.041939,-0.016500,0.032283,-0.023398
2.256721,96,-0.027947,0.013217,0.047839,-0.013305,0.026468,-0.017961
2.279729,97,-0.084884,0.095898,0.005555,-0.015135,0.017125,-0.008617
2.301620,98,-0.085797,-0.161367,-0.018231,-0.015385,0.008846,-0.013533
2.323374,99,0.015902,-0.092736,0.015366,-0.008223,0.001145,-0.019159
2.345868,100,-0.041320,0.081056,-0.022696,-0.003441,-0.004182,-0.022488
2.368258,101,-0.002774,0.062741,0.034663,-0.005439,-0.001641,-0.019536
2.390850,102,-0.036806,-0.037128,0.021923,-0.006505,-0.003117,-0.014620
2.412594,103,-0.045854,-0.063350,-0.003770,-0.000635,-0.002296,-0.005931
2.435073,104,-0.048500,-0.002744,-0.001367,0.006133,-0.003285,0.006518
2.456722,105,-0.088261,-0.012379,0.138014,0.006300,-0.009343,0.003356
2.479040,106,0.019396,0.038409,-0.036577,0.009983,-0.008445,0.005487
2.501780,107,-0.086353,-0.012084,0.048526,0.014543,-0.009921,0.016794
2.523370,108,-0.144715,-0.110468,0.052219,0.014787,-0.014350,0.017448
2.545997,109,-0.015093,-0.050501,0.004200,0.020935,-0.016835,0.016904
2.766530,110,0.004348,0.007789,0.008973,0.030076,-0.015360,0.032883
2.803588,111,0.273563,0.093717,-0.072144,-0.000919,0.010070,0.002147
2.842501,112,0.013744,-0.025593,-0.033242,-0.001875,0.006630,-0.006786
2.866983,113,-0.021657,-0.003303,0.037684,0.002797,-0.002715,-0.006341
2.890770,114,-0.080176,-0.037022,-0.033149,0.002663,-0.012469,-0.017948
2.913941,115,0.234817,-0.018939,-0.029049,0.001875,-0.015255,-0.023929
2.937263,116,-0.024561,0.089146,0.038542,0.001353,-0.010994,-0.019668
2.960340,117,-0.042320,-0.140939,-0.001848,0.000449,-0.009351,-0.022402
2.983356,118,0.078933,0.130748,0.044651,0.000154,-0.009519,-0.027536
3.006021,119,0.078029,0.072135,-0.019465,-0.009323,-0.003127,-0.043793
3.071765,120,0.010873,-0.023722,-0.010043,-0.012109,0.002442,-0.041286
3.096398,121,-0.190496,-0.014577,0.002146,-0.001469,0.017111,-0.008506
3.119007,122,-0.136239,-0.006710,0.041557,-0.001469,0.012439,-0.002525
3.141229,123,-0.160003,-0.067569,0.012033,0.004233,0.002851,0.000948
3.163536,124,-0.071586,0.021192,0.005437,0.008335,-0.012550,0.002047
3.185854,125,-0.073348,-0.016782,0.033998,0.009836,-0.022467,0.000733
3.208475,126,-0.020400,0.055521,-0.065700,0.008903,-0.026600,0.004943
3.230351,127,-0.000858,-0.010742,-0.014143,0.005052,-0.026810,0.008927
3.252371,128,0.099271,0.066734,-0.015683,0.002921,-0.024436,0.010403
3.274745,129,-0.008439,-0.018491,-0.039323,0.001989,-0.018867,0.014497
3.296871,130,0.035173,0.090220,-0.019508,-0.005712,-0.014028,0.015863
3.319100,131,0.061950,-0.020531,0.004273,-0.007432,-0.011654,0.018897
3.341954,132,0.007383,-0.137483,0.017220,-0.003582,-0.014850,0.010948
