ts_s,frame,joint_id,joint_name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,confidence
0.044856,1,0,Pelvis,-0.046800,-0.667614,-0.355715,0.037810,-0.060153,0.038430,0.996732,0.500
0.044856,1,15,Head,-0.091437,-0.120811,-0.316803,0.037810,-0.060153,0.038430,0.996732,0.950
0.044856,1,16,LeftShoulder,-0.249059,-0.293731,-0.329204,0.037810,-0.060153,0.038430,0.996732,0.620
0.044856,1,17,RightShoulder,0.087476,-0.269231,-0.287446,0.037810,-0.060153,0.038430,0.996732,0.620
0.044856,1,18,LeftElbow,-0.135343,-0.146697,-0.196769,-0.291142,-0.000346,0.000465,0.956680,0.580
0.044856,1,19,RightElbow,0.132575,-0.335727,-0.228597,-0.265343,-0.086318,0.171307,0.944879,0.580
0.044856,1,20,LeftWrist,-0.021627,0.000336,-0.064335,-0.291142,-0.000346,0.000465,0.956680,0.820
0.044856,1,21,RightWrist,0.177673,-0.402223,-0.169749,-0.265343,-0.086318,0.171307,0.944879,0.820
0.044856,1,22,LeftHand,-0.021627,0.000336,-0.064335,-0.291142,-0.000346,0.000465,0.956680,0.780
0.044856,1,23,RightHand,0.177673,-0.402223,-0.169749,-0.265343,-0.086318,0.171307,0.944879,0.780
0.070379,2,0,Pelvis,-0.041839,-0.667722,-0.352318,0.033006,-0.068815,0.043213,0.996146,0.500
0.070379,2,15,Head,-0.091688,-0.120974,-0.319422,0.033006,-0.068815,0.043213,0.996146,0.950
0.070379,2,16,LeftShoulder,-0.247627,-0.295326,-0.333017,0.033006,-0.068815,0.043213,0.996146,0.620
0.070379,2,17,RightShoulder,0.087883,-0.267599,-0.285433,0.033006,-0.068815,0.043213,0.996146,0.620
0.070379,2,18,LeftElbow,-0.134627,-0.147493,-0.198676,-0.291110,-0.000357,0.000497,0.956690,0.580
0.070379,2,19,RightElbow,0.129836,-0.331262,-0.229270,-0.306127,-0.095536,0.163906,0.932896,0.580
0.070379,2,20,LeftWrist,-0.021627,0.000339,-0.064335,-0.291110,-0.000357,0.000497,0.956690,0.820
0.070379,2,21,RightWrist,0.171788,-0.394925,-0.173108,-0.306127,-0.095536,0.163906,0.932896,0.820
0.070379,2,22,LeftHand,-0.021627,0.000339,-0.064335,-0.291110,-0.000357,0.000497,0.956690,0.780
0.070379,2,23,RightHand,0.171788,-0.394925,-0.173108,-0.306127,-0.095536,0.163906,0.932896,0.780
0.089618,3,0,Pelvis,-0.041918,-0.667667,-0.351059,0.031444,-0.071462,0.043401,0.996002,0.500
0.089618,3,15,Head,-0.091940,-0.120827,-0.320021,0.031444,-0.071462,0.043401,0.996002,0.950
0.089618,3,16,LeftShoulder,-0.247804,-0.295218,-0.333958,0.031444,-0.071462,0.043401,0.996002,0.620
0.089618,3,17,RightShoulder,0.087442,-0.267351,-0.284630,0.031444,-0.071462,0.043401,0.996002,0.620
0.089618,3,18,LeftElbow,-0.134713,-0.147438,-0.199148,-0.291143,-0.000349,0.000344,0.956679,0.580
0.089618,3,19,RightElbow,0.128629,-0.329110,-0.229200,-0.312391,-0.101801,0.164081,0.930122,0.580
0.089618,3,20,LeftWrist,-0.021622,0.000341,-0.064337,-0.291143,-0.000349,0.000344,0.956679,0.820
0.089618,3,21,RightWrist,0.169816,-0.390868,-0.173769,-0.312391,-0.101801,0.164081,0.930122,0.820
0.089618,3,22,LeftHand,-0.021622,0.000341,-0.064337,-0.291143,-0.000349,0.000344,0.956679,0.780
0.089618,3,23,RightHand,0.169816,-0.390868,-0.173769,-0.312391,-0.101801,0.164081,0.930122,0.780
0.112175,4,0,Pelvis,-0.043594,-0.667589,-0.349582,0.029691,-0.074378,0.042322,0.995889,0.500
0.112175,4,15,Head,-0.092386,-0.120529,-0.320519,0.029691,-0.074378,0.042322,0.995889,0.950
0.112175,4,16,LeftShoulder,-0.248615,-0.294562,-0.334842,0.029691,-0.074378,0.042322,0.995889,0.620
0.112175,4,17,RightShoulder,0.086406,-0.267403,-0.283618,0.029691,-0.074378,0.042322,0.995889,0.620
0.112175,4,18,LeftElbow,-0.135116,-0.147105,-0.199590,-0.291061,-0.000400,0.000369,0.956705,0.580
0.112175,4,19,RightElbow,0.127195,-0.326702,-0.229149,-0.314130,-0.111793,0.163289,0.928527,0.580
0.112175,4,20,LeftWrist,-0.021616,0.000351,-0.064339,-0.291061,-0.000400,0.000369,0.956705,0.820
0.112175,4,21,RightWrist,0.167985,-0.386000,-0.174680,-0.314130,-0.111793,0.163289,0.928527,0.820
0.112175,4,22,LeftHand,-0.021616,0.000351,-0.064339,-0.291061,-0.000400,0.000369,0.956705,0.780
0.112175,4,23,RightHand,0.167985,-0.386000,-0.174680,-0.314130,-0.111793,0.163289,0.928527,0.780
